[2025-07-08 20:30:02.835712] TCP | N/A:61405 -> N/A:443 | Flags: A | TTL: N/A | Window: 253 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.838638] TCP | N/A:61405 -> N/A:443 | Flags: PA | TTL: N/A | Window: 253 | Payload: 24 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.839616] TCP | N/A:61405 -> N/A:443 | Flags: FA | TTL: N/A | Window: 253 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:03.088017] TCP | N/A:443 -> N/A:61405 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:03.097900] TCP | N/A:443 -> N/A:61405 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:03.504697] TCP | N/A:61321 -> N/A:443 | Flags: A | TTL: N/A | Window: 254 | Payload: 1 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:03.684901] TCP | N/A:443 -> N/A:61321 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:03.720033] TCP | N/A:60802 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 1 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:03.807204] TCP | N/A:443 -> N/A:60802 | Flags: A | TTL: N/A | Window: 251 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:03.922461] TCP | N/A:56804 -> N/A:443 | Flags: PA | TTL: N/A | Window: 251 | Payload: 31 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:04.008710] TCP | N/A:443 -> N/A:56804 | Flags: A | TTL: N/A | Window: 501 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:04.816322] TCP | N/A:56804 -> N/A:443 | Flags: PA | TTL: N/A | Window: 251 | Payload: 28 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:04.869211] TCP | 13.89.178.27:443 -> 192.168.200.118:61404 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:04.928275] TCP | N/A:443 -> N/A:56804 | Flags: A | TTL: N/A | Window: 501 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:06.488553] TCP | 13.89.178.27:443 -> 192.168.200.118:61392 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:06.489524] TCP | 13.89.178.27:443 -> 192.168.200.118:61394 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:07.177428] Unknown | N/A:N/A -> N/A:N/A | Flags: N/A | TTL: N/A | Window: N/A | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:07.178969] Unknown | N/A:N/A -> N/A:N/A | Flags: N/A | TTL: N/A | Window: N/A | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:07.768716] TCP | N/A:443 -> N/A:61275 | Flags: PA | TTL: N/A | Window: 16386 | Payload: 39 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:07.770666] TCP | N/A:61275 -> N/A:443 | Flags: FA | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:07.772617] TCP | N/A:443 -> N/A:61275 | Flags: FA | TTL: N/A | Window: 16386 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:07.774569] TCP | N/A:443 -> N/A:61275 | Flags: FPA | TTL: N/A | Window: 16386 | Payload: 39 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:07.778048] TCP | N/A:61275 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:07.808364] TCP | N/A:443 -> N/A:61275 | Flags: A | TTL: N/A | Window: 16386 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
